FID,cnuc,nome_uc,area_ha,acao,tipo,satelite,obs,juliano,data,ano,mes_nome,mes_num,categoria,local,area_uc,area_ent,bioma,gr_nome,ngi,cr,GlobalID,Shape__Are,Shape__Len,Shape__Area,Shape__Length,ct
357824,0000.00.0076,ESEC Serra Geral do Tocantins,110.487354968228,incendio,incendio,planet, ,250,10/27/2025 12:00:00 AM,2025,out,10,incendio,interior,110.487354968228,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,1156074.25097656,8983.36819329216, 
357825,0000.00.0174,PARNA do Monte Roraima,27.6191211779586,queima controlada,manejo,planet,Queima do dia 09/01,9,1/10/2025 12:00:00 AM,2025,jan,01,manejo,interior,27.6191211779586,0,AMAZÔNIA,GR 1 - NORTE,Núcleo de Gestão Integrada - ICMBio Roraima,CR Manaus,,,,280068.852783203,2995.87987600679,CT Manaus
357826,0000.00.0219,REVIS das Veredas do Oeste Baiano,482.800290530153,queima prescrita,manejo,planet,Queima entre os dias 04/06 e 06/06,156,6/8/2025 12:00:00 AM,2025,jun,06,manejo,interior,482.800290530153,0,CERRADO,GR 3 - CENTRO-OESTE,Núcleo de Gestão Integrada - ICMBio Mambaí, ,,,,5158850.69287109,54825.8578459842, 
357827,0000.00.0219,REVIS das Veredas do Oeste Baiano,641.028149757114,incendio,incendio,planet, ,322,11/29/2025 12:00:00 AM,2025,nov,11,incendio,interior,641.028149757114,0,CERRADO,GR 3 - CENTRO-OESTE,Núcleo de Gestão Integrada - ICMBio Mambaí, ,,,,6865275.08007813,28629.5081157169, 
357828,0000.00.0174,PARNA do Monte Roraima,81.0866010302857,queima controlada,manejo,planet,Queima do dia 09/01,9,1/10/2025 12:00:00 AM,2025,jan,01,manejo,interior,81.0866010302857,0,AMAZÔNIA,GR 1 - NORTE,Núcleo de Gestão Integrada - ICMBio Roraima,CR Manaus,,,,822080.505371094,6301.99763778649,CT Manaus
357829,0000.00.0174,PARNA do Monte Roraima,6.94137562458356,queima controlada,manejo,planet,Queima do dia 09/01,9,1/10/2025 12:00:00 AM,2025,jan,01,manejo,interior,6.94137562458356,0,AMAZÔNIA,GR 1 - NORTE,Núcleo de Gestão Integrada - ICMBio Roraima,CR Manaus,,,,70384.4633789063,1224.01341640964,CT Manaus
357830,0000.00.0174,PARNA do Monte Roraima,17.1265323021832,queima controlada,manejo,planet,Queima do dia 09/01,9,1/10/2025 12:00:00 AM,2025,jan,01,manejo,interior,17.1265323021832,0,AMAZÔNIA,GR 1 - NORTE,Núcleo de Gestão Integrada - ICMBio Roraima,CR Manaus,,,,173661.286376953,2992.74892575865,CT Manaus
357831,0000.00.0174,PARNA do Monte Roraima,82.4454086699334,queima controlada,manejo,planet,Queima do dia 09/01,9,1/10/2025 12:00:00 AM,2025,jan,01,manejo,interior,82.4454086699334,0,AMAZÔNIA,GR 1 - NORTE,Núcleo de Gestão Integrada - ICMBio Roraima,CR Manaus,,,,835966.357177734,7932.2964546721,CT Manaus
357832,0000.00.0174,PARNA do Monte Roraima,14.7565033030665,queima controlada,manejo,planet,Queima do dia 08/01,8,1/10/2025 12:00:00 AM,2025,jan,01,manejo,interior,14.7565033030665,0,AMAZÔNIA,GR 1 - NORTE,Núcleo de Gestão Integrada - ICMBio Roraima,CR Manaus,,,,149618.171386719,1756.07280548838,CT Manaus
357833,0000.00.0076,ESEC Serra Geral do Tocantins,46.1494633106921,queima prescrita,manejo,planet,Queima do dia 10/03,70,4/9/2025 12:00:00 AM,2025,abr,04,manejo,interior,46.1494633106921,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,480970.784667969,3645.93271131754, 
